fauf,materialnummer,menge,arbeitsstation,eventtyp,zustand,zeitstempel,tag_id
PO-01,Car,1,B-01,Generation,Standard,2025-01-03 08:56:00.719+01,84b31b00000b807d
PO-01,Car,1,B-01,Exit,Standard,2025-01-03 08:56:30.758+01,84b31b00000b807d
PO-01,Car,1,B-03,Entry,Standard,2025-01-03 09:01:01.104+01,84b31b00000b807d
PO-05,Car,1,B-03,Generation,Standard,2025-01-03 09:01:01.273+01,84b31b00000b806c
PO-01,Car,1,B-03,Exit,Standard,2025-01-03 09:01:16.138+01,84b31b00000b807d
PO-05,Car,1,B-03,Exit,Standard,2025-01-03 09:03:01.393+01,84b31b00000b806c
PO-01,Car-01,1,Goods-In,Generation,Standard,2025-01-03 09:24:45.878+01,84b31b00000b8055
PO-01,Car-01,1,Goods-In,Exit,Standard,2025-01-03 09:25:16.031+01,84b31b00000b8055
PO-01,Car-01,1,WS-04,Generation,Standard,2025-01-03 09:25:16.031+01,84b31b00000b8055
PO-01,Car-01,1,WS-04,Entry,Standard,2025-01-03 09:25:16.031+01,84b31b00000b8055
PO-01,Car-01,1,WS-04,Exit,Standard,2025-01-03 09:25:31.037+01,84b31b00000b8055
PO-02,Car-02,1,WS-01,Generation,Standard,2025-01-03 09:26:15.739+01,84b31b00000b805b
PO-01,Car-01,1,WS-04,Entry,Standard,2025-01-03 09:26:15.908+01,84b31b00000b8055
PO-01,BOSP,1,WS-04,Generation,Standard,2025-01-03 09:25:30.824+01,84b31b00000b8095
PO-02,BOSP,1,WS-01,Generation,Standard,2025-01-03 09:27:00.834+01,84b31b00000b8129
PO-03,Car-03,1,WS-02,Generation,Standard,2025-01-03 09:27:00.932+01,84b31b00000b805c
PO-02,BOSP,1,WS-01,Exit,Standard,2025-01-03 09:27:15.731+01,84b31b00000b8129
PO-01,BOSP,1,WS-04,Exit,Standard,2025-01-03 09:27:15.973+01,84b31b00000b8095
